City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
13,Puerto Leguizamo,CO,82.09,overcast clouds,-0.1934,-74.7819,la casona de juancho
16,Faanui,PF,81.36,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
24,Ugoofaaru,MV,83.43,clear sky,5.6667,73.0,Ungoofaaru Inn
35,Itarema,BR,82.94,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
38,Atar,MR,89.55,clear sky,20.5169,-13.0499,Oumou Elghoura
39,Puerto Ayora,EC,84.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
43,Cabo San Lucas,MX,79.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
52,Aloleng,PH,79.59,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
57,Pedernales,DO,83.86,clear sky,18.0384,-71.744,Hotel Costa Marina
65,Imbituba,BR,76.82,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
67,Midland,US,80.06,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
72,Tarauaca,BR,86.77,broken clouds,-8.1614,-70.7656,Flat Temporada
75,San Vicente,AR,81.7,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
77,Rikitea,PF,76.17,scattered clouds,-23.1203,-134.9692,People ThankYou
79,Bengkulu,ID,77.0,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
80,Atuona,PF,78.98,overcast clouds,-9.8,-139.0333,Villa Enata
86,Sabang,ID,80.51,overcast clouds,5.8933,95.3214,Hotel Citra
91,Huejuquilla El Alto,MX,78.44,broken clouds,22.6,-103.8667,Hotel Huexuquillan
94,Hithadhoo,MV,83.61,scattered clouds,-0.6,73.0833,Scoop Guest House
99,Santa Cruz,BO,84.25,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
104,Butaritari,KI,81.1,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
105,Isangel,VU,79.95,overcast clouds,-19.55,169.2667,Tanna Lodge
106,Carnarvon,AU,78.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
108,Cockburn Town,TC,78.17,clear sky,21.4612,-71.1419,Osprey Beach Hotel
112,Touros,BR,83.05,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
