City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2022-04-03 02:53:31,42.097,-79.2353,35.24,62,0,8.05
1,Inhambane,MZ,2022-04-03 02:53:31,-23.865,35.3833,76.73,76,75,6.6
2,Kuusamo,FI,2022-04-03 02:53:32,65.9667,29.1833,23.04,86,100,6.91
3,Mnogovershinnyy,RU,2022-04-03 02:53:32,53.9353,139.9242,30.11,94,100,6.82
4,Santa Cruz,BO,2022-04-03 02:53:33,-17.8,-63.1667,65.66,82,0,5.75
5,Lompoc,US,2022-04-03 02:53:33,34.6391,-120.4579,59.14,86,100,4.61
6,Victoria,HK,2022-04-03 02:52:16,22.2855,114.1577,69.33,47,40,10.0
7,Hilo,US,2022-04-03 02:48:57,19.7297,-155.09,78.53,79,100,11.5
8,East London,ZA,2022-04-03 02:53:34,-33.0153,27.9116,67.39,90,100,14.99
9,Houma,US,2022-04-03 02:49:44,29.5958,-90.7195,66.2,79,0,5.75
10,Bonthe,SL,2022-04-03 02:53:34,7.5264,-12.505,76.91,89,100,1.81
11,Georgetown,MY,2022-04-03 02:51:36,5.4112,100.3354,85.93,76,20,5.75
12,Grindavik,IS,2022-04-03 02:53:35,63.8424,-22.4338,45.9,100,100,13.8
13,Ust-Kuyga,RU,2022-04-03 02:53:35,70.0167,135.6,7.75,84,78,4.34
14,Ilulissat,GL,2022-04-03 02:53:35,69.2167,-51.1,20.93,92,100,8.1
15,Ushuaia,AR,2022-04-03 02:53:36,-54.8,-68.3,37.06,87,20,6.91
16,Hermanus,ZA,2022-04-03 02:53:36,-34.4187,19.2345,58.8,84,13,10.33
17,Kismayo,SO,2022-04-03 02:53:36,-0.3582,42.5454,79.52,80,27,8.84
18,Rikitea,PF,2022-04-03 02:53:37,-23.1203,-134.9692,75.52,59,6,7.78
19,Bluff,NZ,2022-04-03 02:53:37,-46.6,168.3333,58.23,70,91,17.85
20,Albany,US,2022-04-03 02:51:45,42.6001,-73.9662,40.53,58,100,3.04
21,Marsa Matruh,EG,2022-04-03 02:53:38,31.3525,27.2453,57.4,82,100,2.3
22,Rio Gallegos,AR,2022-04-03 02:53:38,-51.6226,-69.2181,39.25,75,0,11.5
23,Thompson,CA,2022-04-03 02:53:38,55.7435,-97.8558,24.96,54,40,4.61
24,Lavrentiya,RU,2022-04-03 02:53:39,65.5833,-171.0,8.73,76,0,11.56
25,Suez,EG,2022-04-03 02:53:39,29.9737,32.5263,68.81,41,100,12.86
26,Avarua,CK,2022-04-03 02:50:13,-21.2078,-159.775,82.45,78,75,10.36
27,Kapaa,US,2022-04-03 02:53:40,22.0752,-159.319,74.48,86,68,7.0
28,Prince Rupert,CA,2022-04-03 02:51:45,54.3161,-130.3201,39.29,93,100,52.93
29,Mar Del Plata,AR,2022-04-03 02:51:38,-38.0023,-57.5575,60.87,78,0,20.0
30,Samarai,PG,2022-04-03 02:53:40,-10.6167,150.6667,82.42,72,100,8.97
31,Suntar,RU,2022-04-03 02:53:41,62.1444,117.6319,20.34,82,100,5.26
32,Coihaique,CL,2022-04-03 02:53:41,-45.5752,-72.0662,41.61,87,0,3.44
33,Castro,BR,2022-04-03 02:53:42,-24.7911,-50.0119,58.68,97,100,9.84
34,Zunheboto,IN,2022-04-03 02:53:42,25.9667,94.5167,76.37,45,8,1.9
35,Eyl,SO,2022-04-03 02:53:42,7.9803,49.8164,76.71,82,23,5.28
36,Taoudenni,ML,2022-04-03 02:53:43,22.6783,-3.9836,78.46,13,0,3.8
37,Bolama,GW,2022-04-03 02:53:43,11.5833,-15.4667,74.16,61,90,7.78
38,Los Llanos De Aridane,ES,2022-04-03 02:53:43,28.6585,-17.9182,58.75,88,20,6.91
39,Richards Bay,ZA,2022-04-03 02:53:44,-28.783,32.0377,70.02,97,39,3.76
40,Tasiilaq,GL,2022-04-03 02:53:44,65.6145,-37.6368,22.23,94,100,13.49
