City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Hardy,CA,50.6996,-127.4199,41.0,93,75,5.75,broken clouds
1,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,20,4.61,few clouds
2,The Valley,AI,18.217,-63.0578,84.06,61,20,17.27,few clouds
3,Ushuaia,AR,-54.8,-68.3,46.02,70,20,18.41,few clouds
4,Egvekinot,RU,66.3167,-179.1667,-11.83,87,15,19.19,few clouds
5,Hobart,AU,-42.8794,147.3294,56.26,94,100,6.91,overcast clouds
6,Punta Arenas,CL,-53.15,-70.9167,44.71,70,20,29.93,few clouds
7,Kodiak,US,57.79,-152.4072,27.91,86,0,5.75,clear sky
8,Bethel,US,41.3712,-73.414,45.68,82,100,3.44,heavy intensity rain
9,Iqaluit,CA,63.7506,-68.5145,26.33,86,75,23.02,broken clouds
10,Sept-Iles,CA,50.2001,-66.3821,39.06,52,20,14.97,few clouds
11,Cape Town,ZA,-33.9258,18.4232,69.12,75,40,13.8,scattered clouds
12,Gisborne,NZ,-38.6533,178.0042,59.07,90,17,3.76,few clouds
13,Puerto Leguizamo,CO,-0.1934,-74.7819,82.09,71,95,2.3,overcast clouds
14,Thompson,CA,55.7435,-97.8558,30.36,59,100,5.75,overcast clouds
15,Pacific Grove,US,36.6177,-121.9166,55.51,89,40,3.44,scattered clouds
16,Faanui,PF,-16.4833,-151.75,81.36,76,11,9.31,few clouds
17,Sao Felipe,BR,-14.8167,-41.3833,92.17,28,11,10.33,few clouds
18,Cidreira,BR,-30.1811,-50.2056,68.92,94,100,15.12,light rain
19,Ancud,CL,-41.8697,-73.8203,50.23,61,68,10.18,broken clouds
20,Pevek,RU,69.7008,170.3133,-21.21,96,18,3.11,few clouds
21,Valley City,US,46.9233,-98.0032,32.52,86,20,11.5,few clouds
22,Ippy,CF,6.2679,21.2247,77.74,62,100,2.98,light rain
23,Port Elizabeth,ZA,-33.918,25.5701,68.09,95,40,9.22,scattered clouds
24,Ugoofaaru,MV,5.6667,73.0,83.43,69,6,3.71,clear sky
25,Ninghai,CN,29.2892,121.4247,44.22,82,4,2.33,clear sky
26,Albany,US,42.6001,-73.9662,45.03,70,100,1.99,moderate rain
27,Mataura,NZ,-46.1927,168.8643,44.8,98,63,1.48,broken clouds
28,La Ronge,CA,55.1001,-105.2842,35.85,51,40,5.75,scattered clouds
29,Castro,BR,-24.7911,-50.0119,70.0,77,96,7.83,overcast clouds
30,Khatanga,RU,71.9667,102.5,-25.82,100,99,4.59,overcast clouds
31,Pangkalanbuun,ID,-2.6833,111.6167,73.85,98,52,1.48,moderate rain
